请输入物体数目：请输入背包大小：请输入背包：
The max sum_value is: 
3113
The optimum solution is :
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2
ID：1 价值：6 重量: 2

运行时间: 100
